Name,Clade,lineage(SUPERKINGDOM),lineage(KINGDOM),lineage(PHYLUM),lineage(CLASS),lineage(ORDER),lineage(FAMILY),lineage(GENUS),lineage(SPECIES)
AcTPS4,1,,,,,,,,
AcTPS5,2,,,,,,,,
AcTPS7,3,,,,,,,,
AcTPS9,1,,,,,,,,
ArmGa1,4,,,,,,,,
BvCS,2,,,,,,,,
Cop1,2,,,,,,,,
Cop2,2,,,,,,,,
Cop3,2,,,,,,,,
Cop4,1,,,,,,,,
Cop6,3,,,,,,,,
tr|A0A5M3MFS2|A0A5M3MFS2_CONPW__Copu1,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MFC0|A0A5M3MFC0_CONPW__Copu2,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MYJ1|A0A5M3MYJ1_CONPW__Copu3,1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu4,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MX24|A0A5M3MX24_CONPW__Copu5,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MCC4|A0A5M3MCC4_CONPW__Copu6,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MWF6|A0A5M3MWF6_CONPW__Copu7,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu8,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MXY8|A0A5M3MXY8_CONPW__Copu9,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu10,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MW72|A0A5M3MW72_CONPW__Copu11,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MEQ1|A0A5M3MEQ1_CONPW__Copu12,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MHQ9|A0A5M3MHQ9_CONPW_Copu13,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MKY2|A0A5M3MKY2_CONPW_Copu14,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MMD6|A0A5M3MMD6_CONPW_Copu15,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3N0E8|A0A5M3N0E8_CONPW_Copu16,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MCV2|A0A5M3MCV2_CONPW_Copu17,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
tr|A0A5M3MLS1|A0A5M3MLS1_CONPW_Copu18,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu19,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu20,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu21,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu22,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu23,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Copu24,5,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora puteana
Fompi1|84944,3,,,,,,,,
GME3634,2,,,,,,,,
GME3638,2,,,,,,,,
GME9210,4,,,,,,,,
Omp1,2,,,,,,,,
Omp3,2,,,,,,,,
Omp4,1,,,,,,,,
Omp5a,1,,,,,,,,
Omp5b,1,,,,,,,,
Omp6,4,,,,,,,,
Omp7,4,,,,,,,,
Omp9,3,,,,,,,,
Omp10,3,,,,,,,,
Stehi_128017,1,,,,,,,,
Stehi_159379,3,,,,,,,,
Stehi2,4,,,,,,,,
Stehi6,4,,,,,,,,
Stehi7,4,,,,,,,,
tr|A0A5M3MJS8|A0A5M3MJS8_CONPW,5,,,,,,,,
sp|A0A0H5BB17|RMNB_STRAQ__bacterial,6,,,,,,,,
sp|B5HDJ6|SEDS_STRE2__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pristinaespiralis
sp|P0DPK6|SPVIS_STRVB__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violens (Chainia violens)
sp|O34707|YTPB_BACSU__bacterial,6,,,,,,,,
sp|A0A0H5BN61|RMND_STRAQ__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces anulatus (Streptomyces chrysomallus)
sp|P55348|SQHC_SINFN__bacterial,6,,,,,,,,
sp|E3VWJ0|PNTA_STRAE__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces arenae
sp|Q9F1V8|MIBS_STRGR__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus
sp|E8W6C7|GERS_STRFA__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pratensis
sp|Q5KSN4|PMDS_STREO__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. (strain KO-3988)
sp|G2P5T1|IAFRS_STRV4__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger
sp|A0A291SJC7|IAFRS_STRMQ__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces malaysiensis
sp|M1V9Q0|DTCYA_STRSQ__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.
sp|Q82IY4|PTLA_STRAW__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis
sp|P33247|SQHC_ALIAD__bacterial,6,,,,,,,,
sp|P54924|SQHC_BRADU__bacterial,6,,,,,,,,
sp|Q55012|PENA_STREX__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces exfoliatus (Streptomyces hydrogenans)
sp|B5H7H3|PRISS_STRE2__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pristinaespiralis
sp|A9FZ87|EREMS_SORC5__bacterial,6,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Polyangiaceae,Sorangium,Sorangium cellulosum (Polyangium cellulosum)
sp|Q9F1Y6|MIBS_STRCO__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
sp|A4FG19|MIBS_SACEN__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora erythraea (Streptomyces erythraeus)
sp|Q9X839|CYC2_STRCO__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
sp|B5GMG2|CNSA_STRCL__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
sp|B5GRC8|LATES_STRCL__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
sp|A9AWD5|KVDS_HERA2__bacterial,6,,,,,,,,
sp|B1W019|GCOA_STRGG__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus
sp|A3KI17|MIBS_STRA7__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ambofaciens
sp|D9XDR8|AAMS_STRVT__bacterial,6,,,,,,,,
sp|D5SL78|LNSA_STRCL__bacterial,6,,,,,,,,
sp|D3KYU2|MIBS_STRLS__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lasaliensis
sp|M1VDX3|DTCYB_STRSQ__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.
sp|D5SJ87|LADIS_STRCL__bacterial,6,,,,,,,,
sp|E4MYY0|HCS_KITSK__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora setae
sp|B2J4A4|GERAS_NOSP7__bacterial,6,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc punctiforme
sp|C7PLV2|GCAS_CHIPD__bacterial,6,Bacteria,,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga pinensis
sp|D9XD61|EAES_STRVT__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridochromogenes
sp|E4N7E5|CEABS_KITSK__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora setae
sp|A0A0H5BN57|CLDD_STRCP__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cyslabdanicus
sp|A0A0H5BB10|CLDB_STRCP__bacterial,6,,,,,,,,
sp|Q9AJE4|CYC1_KITGR__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora griseola (Streptomyces griseolosporeus)
sp|Q9K498|EIZFM_STRCO__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
sp|O50406|DITCY_MYCTU__bacterial,6,,,,,,,,
sp|D2B747|ECUB_STRRD__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum
sp|Q5KSN5|ECDPS_STREO__bacterial,6,,,,,,,,
sp|K0K750|BCAS_SACES__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix espanaensis
sp|P33990|SQHC_ZYMMO__bacterial,6,,,,,,,,
sp|B5GS26|DCADS_STRCL__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
sp|C9K1X5|COTB2_STRMJ__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces melanosporofaciens
sp|A9GK58|ECUBS_SORC5__bacterial,6,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales (fruiting gliding bacteria),Polyangiaceae,Sorangium,Sorangium cellulosum (Polyangium cellulosum)
sp|Q9AJE3|CYC2_KITGR__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora griseola (Streptomyces griseolosporeus)
sp|Q9K499|CYC1_STRCO__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
sp|M5AW86|BCLTS_BACCS__bacterial,6,,,,,,,,
sp|A7NH01|TMUUS_ROSCS__bacterial,6,Bacteria,,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus castenholzii
sp|B5GW45|TMUUS_STRCL__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus
sp|Q82RR7|TPC1_STRAW__bacterial,6,Bacteria,,Actinobacteria,Actinobacteria (high G+C Gram-positive bacteria),Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis
sp|I2N045|TSUKU_STRT9__bacterial,6,,,,,,,,
sp|Q9MB42|BAMS_GLYGL,7,,,,,,,,
sp|P0DI76|CIN1_ARATH,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana (Mouse-ear cress)
sp|G8GJ96|CLDS9_SALSC,7,,,,,,,,
sp|Q84SM8|3CAR1_PICAB,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies (Norway spruce) (Picea excelsa)
sp|E7DN63|BAMS_SOLLC,7,,,,,,,,
sp|B3TPQ6|BCUSY_MAGGA,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia grandiflora (Southern magnolia)
sp|Q6Z2X6|CAS_ORYSJ,7,,,,,,,,
sp|Q1ZXA1|C521A_DICDI,7,Eukaryota,,Evosea,Eumycetozoa,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum (Slime mold)
sp|Q84ZW8|ACSS_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|B4FVP3|C71Z8_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|O82140|BAMS1_PANGI,7,,,,,,,,
sp|O81192|BPPS_SALOF,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia (sages),Salvia officinalis (Sage)
sp|Q84LF2|5EAS3_NICAT,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana attenuata (Coyote tobacco)
sp|F1CKI6|3CAR1_PICSI,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea sitchensis (Sitka spruce) (Pinus sitchensis)
sp|Q84LG0|5EAS4_NICAT,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana attenuata (Coyote tobacco)
sp|Q948Z0|TPSD6_ABIGR,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies (fir trees),Abies grandis (Grand fir) (Pinus grandis)
sp|O24475|TPSD3_ABIGR,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies (fir trees),Abies grandis (Grand fir) (Pinus grandis)
sp|Q38710|TPSDV_ABIGR,7,,,,,,,,
sp|I6RAQ6|TPS1_MATCR,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria chamomilla
sp|A0A2K9RFZ7|TPS1_VITAC,7,,,,,,,,
sp|K7WDC8|TS21I_MAIZE,7,,,,,,,,
sp|F6M8H7|SMST_SANMU,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Santalum (sandalwoods),Santalum murrayanum (Bitter quandong)
sp|Q50EK2|TPSD1_PINTA,7,,,,,,,,
sp|P85964|TPSD1_PSEMZ,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,Pseudotsuga menziesii (Douglas-fir) (Abies menziesii)
sp|O24474|TPSD2_ABIGR,7,,,,,,,,
sp|Q5GJ60|TPS6_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|B9RI00|TPS6_RICCO,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis (Castor bean)
sp|Q9LUE0|TPS19_ARATH,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana (Mouse-ear cress)
sp|A4FVP2|TPS03_ARATH,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana (Mouse-ear cress)
sp|I6R4V5|TPS2_MATCR,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria chamomilla
sp|B9SCB6|TPS2_RICCO,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis (Castor bean)
sp|C5YHI2|TPS2_SORBI,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,Sorghum bicolor (Sorghum) (Sorghum vulgare)
sp|A0A3L6G998|TS23M_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|Q39980|VTSS3_HYOMU,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Hyoscyamus,Hyoscyamus muticus (Egyptian henbane)
sp|J7LQ09|TPS7_PHYDL,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Verbenaceae,Phyla,Phyla dulcis (Aztec sweet herb) (Lippia dulcis)
sp|Q9M7C9|TPSDB_ABIGR,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies (fir trees),Abies grandis (Grand fir) (Pinus grandis)
sp|M4HYC6|TPSD2_PINCO,7,,,,,,,,
sp|Q54BE5|TPS8_DICDI,7,Eukaryota,,Evosea,Eumycetozoa,Dictyosteliales,Dictyosteliaceae,Dictyostelium,Dictyostelium discoideum (Slime mold)
sp|Q6XDB5|TPSD2_PICSI,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea sitchensis (Sitka spruce) (Pinus sitchensis)
sp|Q6JD70|TPS5A_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|Q6JD69|TPS5B_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|B2C4D0|TS23B_MAIZE,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays (Maize)
sp|Q8H2B4|LLOS_MENAQ,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha aquatica (Water mint)
sp|E3W206|SPIBS_SANSP,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Santalum (sandalwoods),Santalum spicatum (Australian sandalwood)
sp|B8XA41|SBS_SOLHA,7,,,,,,,,
sp|E3W205|SAUBS_SANAS,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Santalum (sandalwoods),Santalum austrocaledonicum (Sandalwood)
sp|Q9LS68|PEN7_ARATH,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana (Mouse-ear cress)
sp|F6M8H4|SAST_SANAL,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Santalum (sandalwoods),Santalum album (White sandalwood)
sp|P0CV94|NES1_FRAAN,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)
sp|Q84KL6|PT1_PINTA,7,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda (Loblolly pine)
sp|G8GJ94|SCLS_SALSC,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia (sages),Salvia sclarea (Clary sage)
sp|B5A434|MTPS1_SANAL,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Santalum (sandalwoods),Santalum album (White sandalwood)
sp|B6EXY6|LUP4_ARATH,7,,,,,,,,
sp|E2E2N7|BCGS_ORIVU,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Origanum (marjorams),Origanum vulgare (Wild marjoram)
sp|O04408|KSA_PEA,7,,,,,,,,
sp|Q1G1A4|LAS1_ARATH,7,,,,,,,,
sp|B6SCF3|MTS1_HUMLU,7,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus (European hop)
